participant, trial, cashIn, pop, totalTokens,  pressCount, tokensGained, duration, reactionTime
100,9,0,0,16,160,1,0.11675190899998711,0
100,9,0,0,17,161,1,0.08338499100000263,0
100,9,0,0,18,162,1,0.08341002399998843,0
100,9,0,0,19,163,1,0.08343505900000991,0
100,9,0,0,20,164,1,0.11671590800000331,0
100,10,0,0,1,165,1,0.13341903700001012,0
100,10,0,0,2,166,1,0.1166667939999968,0
100,10,0,0,3,167,1,0.09999108299999193,0
100,10,0,0,4,168,1,0.13331293999999616,0
100,10,0,0,5,169,1,0.11667799899998954,0
100,10,0,0,6,170,1,0.13331103399997346,0
100,10,0,0,7,171,1,0.13335895599999503,0
100,10,0,0,8,172,1,0.15001201699999456,0
100,10,0,0,9,173,1,0.14998292900000365,0
100,10,0,0,10,174,1,0.08339405000000966,0
100,12,0,0,1,175,1,10.399805068999996,0
100,12,0,0,2,176,1,0.1167769440000086,0
100,12,0,0,3,177,1,0.06668901500000857,0
100,12,0,0,4,178,1,0.0833380219999924,0
100,12,0,0,5,179,1,0.06673598300000094,0
100,12,0,0,6,180,1,0.05002999299998123,0
100,12,0,0,7,181,1,0.03333806999998501,0
100,12,0,0,8,182,1,0.05002689299999474,0
100,12,0,0,9,183,1,0.08334302899999102,0
100,12,0,0,10,184,1,0.10003995899998586,0
100,12,0,0,11,185,1,0.08337712200000169,0
100,12,0,0,12,186,1,0.050029993000009654,0
100,12,0,0,13,187,1,0.0667810439999812,0
100,12,0,0,14,188,1,0.0332529549999947,0
100,12,0,0,15,189,1,0.06671309500001144,0
100,12,0,0,16,190,1,0.11668992100001674,0
100,12,0,0,17,191,1,0.0666768549999972,0
100,12,0,0,18,192,1,0.08336114900001235,0
100,12,0,0,19,193,1,0.08338213000001815,0
100,12,0,0,20,194,1,0.09998083099998212,0
100,12,0,0,21,195,1,0.06660914399998319,0
100,14,0,0,1,196,-20,115.13809490199998,0
100,14,0,0,2,197,1,0.08332395599995834,0
100,14,0,0,3,198,1,0.08330416699999432,0
100,14,0,0,4,199,1,0.05008888200001138,0
100,14,0,0,5,200,1,0.05000495900003443,0
100,14,0,0,6,201,1,0.06668710700000702,0
100,14,0,0,7,202,1,0.05004095999998981,0
100,14,0,0,8,203,1,0.08335089700000253,0
100,14,0,0,9,204,1,0.05004501399997707,0
100,14,0,0,10,205,1,0.050159931999985474,0
100,14,0,0,11,206,1,0.05005502700004172,0
100,14,0,0,12,207,1,0.08332204800001364,0
100,14,0,0,13,208,1,0.08335590300004014,0
100,14,0,0,14,209,1,0.08330607499999587,0
100,14,0,0,15,210,1,0.04994893099996034,0
100,14,0,0,16,211,1,0.050057171999981165,0
100,14,0,0,17,212,1,0.050060033000022486,0
100,14,0,0,18,213,1,0.05009889600000861,0
100,14,0,0,19,214,1,0.049962997000022824,0
100,14,0,0,20,215,1,0.11660790500002349,0
100,14,0,0,21,216,1,0.0666692259999877,0
100,14,0,0,22,217,1,0.05012702999999874,0
100,14,0,0,23,218,1,0.08335995700002741,0
100,14,0,0,24,219,1,0.049958944000024985,0
100,14,0,0,25,220,1,0.08335709599998609,0
100,15,0,0,4,221,4,0.7666940688999997,0
100,15,0,0,5,222,1,0.11666607859999978,0
100,15,0,0,6,223,1,0.033432006800000025,0
100,15,0,0,7,224,1,0.0332639216999997,0
100,15,0,0,8,225,1,0.28328490260000017,0
100,15,0,0,9,226,1,0.08330297470000048,0
100,15,0,0,10,227,1,0.11676096919999956,0
